Model,Input,Feature,Metric,Baseline PR-AUC,Importance,Importance Std,Permuted PR-AUC,Repeats,Samples,Rank
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC018,PR-AUC,0.9776,0.0001,0.0002,0.9774,3,471,12
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC047,PR-AUC,0.9776,0.0001,0.0,0.9774,3,471,13
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC026,PR-AUC,0.9776,0.0001,0.0,0.9774,3,471,14
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC032,PR-AUC,0.9776,0.0001,0.0002,0.9775,3,471,15
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC030,PR-AUC,0.9776,0.0001,0.0002,0.9775,3,471,16
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC020,PR-AUC,0.9776,0.0001,0.0,0.9775,3,471,17
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC044,PR-AUC,0.9776,0.0001,0.0,0.9775,3,471,18
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC039,PR-AUC,0.9776,0.0,0.0,0.9775,3,471,19
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC015,PR-AUC,0.9776,0.0,0.0001,0.9775,3,471,20
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC041,PR-AUC,0.9776,0.0,0.0,0.9775,3,471,21
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC037,PR-AUC,0.9776,0.0,0.0,0.9775,3,471,22
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC031,PR-AUC,0.9776,0.0,0.0,0.9775,3,471,23
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC016,PR-AUC,0.9776,0.0,0.0002,0.9776,3,471,24
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC050,PR-AUC,0.9776,-0.0,0.0001,0.9776,3,471,25
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC040,PR-AUC,0.9776,-0.0,0.0001,0.9776,3,471,26
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC023,PR-AUC,0.9776,-0.0,0.0001,0.9776,3,471,27
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC046,PR-AUC,0.9776,-0.0,0.0001,0.9776,3,471,28
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC019,PR-AUC,0.9776,-0.0,0.0002,0.9776,3,471,29
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC009,PR-AUC,0.9776,-0.0,0.0,0.9776,3,471,30
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC021,PR-AUC,0.9776,-0.0,0.0,0.9776,3,471,31
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC004,PR-AUC,0.9776,-0.0,0.0008,0.9776,3,471,32
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC011,PR-AUC,0.9776,-0.0,0.0002,0.9776,3,471,33
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC028,PR-AUC,0.9776,-0.0,0.0,0.9776,3,471,34
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC048,PR-AUC,0.9776,-0.0,0.0003,0.9776,3,471,35
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC049,PR-AUC,0.9776,-0.0001,0.0001,0.9776,3,471,36
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC035,PR-AUC,0.9776,-0.0001,0.0,0.9776,3,471,37
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC022,PR-AUC,0.9776,-0.0001,0.0001,0.9776,3,471,38
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC036,PR-AUC,0.9776,-0.0001,0.0001,0.9776,3,471,39
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC043,PR-AUC,0.9776,-0.0001,0.0,0.9776,3,471,40
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC027,PR-AUC,0.9776,-0.0001,0.0,0.9777,3,471,41
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC038,PR-AUC,0.9776,-0.0001,0.0001,0.9777,3,471,42
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC029,PR-AUC,0.9776,-0.0001,0.0001,0.9777,3,471,43
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC034,PR-AUC,0.9776,-0.0002,0.0003,0.9778,3,471,44
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC017,PR-AUC,0.9776,-0.0003,0.0002,0.9778,3,471,45
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC013,PR-AUC,0.9776,-0.0005,0.0001,0.9781,3,471,46
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC002,PR-AUC,0.9776,-0.0007,0.0,0.9782,3,471,47
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC003,PR-AUC,0.9776,-0.0009,0.0002,0.9785,3,471,48
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC006,PR-AUC,0.9776,-0.0009,0.0001,0.9785,3,471,49
Chronos Embeddings + Naive Bayes*,Chronos PCA components,PC010,PR-AUC,0.9776,-0.0017,0.0001,0.9792,3,471,50
