Model,Accuracy [%],Precision,Recall,F1,F2,ROC-AUC,PR-AUC
Chronos + XGBoost (τ=0.18),92.0,0.94,0.97,0.95,0.96,0.958,0.988
Chronos + LR (τ=0.38),90.4,0.92,0.97,0.94,0.96,0.952,0.982
Chronos (fire idx) + LR (τ=0.37),89.7,0.91,0.97,0.94,0.96,0.914,0.969
Chronos + MLP (τ=0.29),89.3,0.92,0.94,0.93,0.94,0.932,0.981
Chronos + LR,88.3,0.96,0.89,0.92,0.90,0.952,0.982
Chronos (fire idx) + LR,84.0,0.95,0.84,0.89,0.86,0.914,0.969
Chronos + MLP,80.5,0.96,0.78,0.86,0.81,0.932,0.981
Chronos + XGBoost,57.5,1.00,0.47,0.64,0.52,0.958,0.988
